"Locality","Postcode","Animal_Type","Breed_Description","Colour_Description","GENDER"
"DANDENONG NORTH","3175","Cat","DOMSH","TAB","F"
"DANDENONG NORTH","3175","Cat","DOMLH","BLAWHI","M"
"DANDENONG","3175","Cat","DOMSH","TABWHI","F"
"SPRINGVALE","3171","Cat","DOM","TORWHI","F"
"DANDENONG","3175","Cat","DOM","WHIGRE","M"
"DANDENONG","3175","Cat","DOMSH","BLABRO","F"
"DANDENONG NORTH","3175","Cat","DOMSH","GREY","M"
"DANDENONG NORTH","3175","Cat","DOMSH","GINWHI","M"
"DANDENONG NORTH","3175","Cat","DOM","TAB","F"
"DANDENONG NORTH","3175","Cat","DOMSH","BLACK","F"
"DANDENONG NORTH","3175","Cat","DOMLH","TAB","F"
"DANDENONG","3175","Cat","DOMM","CHMWHI","M"
"DANDENONG","3175","Cat","DOMSH","GINWHI","M"
"DANDENONG","3175","Cat","DOMSH","TAB","M"
"DANDENONG","3175","Cat","DOM","ORAWHI","M"
"SPRINGVALE SOUTH","3172","Cat","DOMLH","TORT","F"
"DANDENONG NORTH","3175","Cat","DOM","TORWHI","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","BLACK","M"
"KEYSBOROUGH","3173","Cat","SIAM","BLUEP","M"
"KEYSBOROUGH","3173","Cat","BA","SEAL","M"
"KEYSBOROUGH","3173","Cat","FOREIGN","WHITE","M"
"KEYSBOROUGH","3173","Cat","DOMSH","SAND","F"
"KEYSBOROUGH","3173","Cat","DOMSH","GINGER","M"
"DANDENONG NORTH","3175","Cat","DOMSH","BLATOR","F"
"DANDENONG NORTH","3175","Cat","DOMSH","TAB","M"
"NOBLE PARK NORTH","3174","Cat","RAG","CREBRO","F"
"DANDENONG NORTH","3175","Cat","DOMSH","TABWHI","M"
"DANDENONG","3175","Cat","DOMSH","BLAWHI","F"
"NOBLE PARK","3174","Cat","DOM","BLAWHI","M"
"DANDENONG NORTH","3175","Cat","DOMSH","GINWHI","M"
"DANDENONG NORTH","3175","Cat","DOM","WHIGIN","F"
"DANDENONG NORTH","3175","Cat","DOMSH","GRETAB","F"
"SPRINGVALE SOUTH","3172","Cat","DOMM","GINWHI","M"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TABWHI","M"
"SPRINGVALE SOUTH","3172","Cat","RUSBLU","BLUE","M"
"NOBLE PARK NORTH","3174","Cat","RAG","SEAL","F"
"DANDENONG NORTH","3175","Cat","RAG","SEAL","M"
"NOBLE PARK","3174","Cat","BENG","BRSPTAB","M"
"NOBLE PARK","3174","Cat","BURM","BROWN","M"
"SPRINGVALE SOUTH","3172","Cat","TAB","WHITE","F"
"DANDENONG","3175","Cat","DOM","BLACK","F"
"NOBLE PARK","3174","Cat","DOMSH","WHIBLA","F"
"NOBLE PARK","3174","Cat","DOMM","TAB","F"
"NOBLE PARK","3174","Cat","DOM","GINWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","WHIGRE","M"
"NOBLE PARK","3174","Cat","DOMSH","TORWHI","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TORT","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TORT","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TRI","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TAB","M"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","BLAWHI","F"
"SPRINGVALE SOUTH","3172","Cat","DOMM","WHIBRO","M"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","REDCRM","M"
"DANDENONG","3175","Cat","DOMM","BLAWHI","F"
"DANDENONG","3175","Cat","DOMLH","GREWHI","F"
"DANDENONG","3175","Cat","CHIN","WHISIL","M"
"DANDENONG","3175","Cat","DOMSH","TRI","F"
"DANDENONG NORTH","3175","Cat","DOMSH","TRI","M"
"KEYSBOROUGH","3173","Cat","DOMSH","GINGER","M"
"DANDENONG","3175","Cat","DOMSH","GREWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","BLAWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","GREY","F"
"NOBLE PARK","3174","Cat","DOMM","GREWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","TABWHI","M"
"NOBLE PARK","3174","Cat","DOMLH","WHIGRE","F"
"DANDENONG NORTH","3175","Cat","DOMM","BLAWHI","M"
"DANDENONG","3175","Cat","DOMSH","BLAWHI","M"
"DANDENONG","3175","Cat","DOMM","TABWHI","M"
"DANDENONG","3175","Cat","DOMLH","TABWHI","M"
"DANDENONG","3175","Cat","DOMSH","BLAWHI","M"
"SPRINGVALE","3171","Cat","TAB","GREWHI","F"
"SPRINGVALE","3171","Cat","TAB","GREWHI","F"
"NOBLE PARK","3174","Cat","DOMSH","GINGER","M"
"NOBLE PARK","3174","Cat","DOMLH","GREWHI","F"
"NOBLE PARK","3174","Cat","DOMSH","BLACK","F"
"DANDENONG","3175","Cat","DOM","GINGER","F"
"DANDENONG","3175","Cat","DOM","GINWHI","M"
"DANDENONG","3175","Cat","DOM","GINWHI","F"
"DANDENONG","3175","Cat","DOM","TORT","F"
"DANDENONG","3175","Cat","DOM","GINGER","M"
"NOBLE PARK","3174","Cat","DOMSH","TAB","F"
"KEYSBOROUGH","3173","Cat","DOMM","BLACK","F"
"NOBLE PARK","3174","Cat","DOMSH","WHITE","F"
"DANDENONG NORTH","3175","Cat","DOM","BLAWHI","M"
"NOBLE PARK","3174","Cat","DOM","WHITE","M"
"NOBLE PARK","3174","Cat","DOM","TORT","F"
"NOBLE PARK","3174","Cat","DOMSH","GINGER","F"
"NOBLE PARK","3174","Cat","BRI","GINGER","M"
"DANDENONG NORTH","3175","Cat","DOMSH","BLAWHI","M"
"NOBLE PARK NORTH","3174","Cat","DOMSH","GINGER","M"
"NOBLE PARK","3174","Cat","DOMLH","TAB","F"
"NOBLE PARK","3174","Cat","DOM","WHITE","F"
"DANDENONG NORTH","3175","Cat","DOMM","GREWHI","M"
"SPRINGVALE","3171","Cat","DOMSH","GREY","F"
"SPRINGVALE SOUTH","3172","Cat","MAIN","CREWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","GINWHI","M"
"KEYSBOROUGH","3173","Cat","DOM","GINGER","M"
"KEYSBOROUGH","3173","Cat","DOMSH","BLACK","F"
"KEYSBOROUGH","3173","Cat","DOMM","GRETAB","F"
"DANDENONG","3175","Cat","DOMLH","GREWHI","F"
"DANDENONG NORTH","3175","Cat","DOMSH","BLAWHI","F"
"DANDENONG NORTH","3175","Cat","DOMLH","TORT","F"
"NOBLE PARK","3174","Cat","DOM","TABWHI","M"
"SPRINGVALE","3171","Cat","DOMSH","GINWHI","M"
"SPRINGVALE","3171","Cat","DOM","BLACK","F"
"DANDENONG NORTH","3175","Cat","DOMLH","TORT","F"
"NOBLE PARK","3174","Cat","DOMM","TAB","M"
"DANDENONG","3175","Cat","DOMM","BLACK","F"
"DANDENONG","3175","Cat","DOMM","TABWHI","M"
"DANDENONG","3175","Cat","DOMSH","BLAWHI","M"
"KEYSBOROUGH","3173","Cat","DOMSH","GINGER","M"
"NOBLE PARK","3174","Cat","DOMSH","CHAMP","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TABWHI","M"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","TAB","F"
"DANDENONG NORTH","3175","Cat","DOMM","TAB","F"
"DANDENONG NORTH","3175","Cat","DOMSH","TABWHI","F"
"DANDENONG NORTH","3175","Cat","DOMLH","GREWHI","M"
"NOBLE PARK","3174","Cat","DOMSH","TORWHI","F"
"NOBLE PARK","3174","Cat","DOMSH","TABWHI","F"
"NOBLE PARK","3174","Cat","DOMSH","GRETAB","F"
"NOBLE PARK","3174","Cat","DOMSH","BLAWHI","M"
"NOBLE PARK","3174","Cat","DOMLH","GINTAB","F"
"DANDENONG NORTH","3175","Cat","DOMSH","GINGER","M"
"DANDENONG NORTH","3175","Cat","DOMSH","GINGER","M"
"NOBLE PARK","3174","Cat","DOMSH","GREBLA","M"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","WHITE","F"
"SPRINGVALE SOUTH","3172","Cat","DOMSH","BLAWHI","M"
"SPRINGVALE","3171","Cat","DOMSH","TAB","M"
"DANDENONG","3175","Cat","DOMSH","BLACK","M"
"NOBLE PARK","3174","Cat","DOM","GINWHI","M"
"SPRINGVALE SOUTH","3172","Cat","RAG","CREGRE","M"
"DANDENONG NORTH","3175","Cat","DOM","BLACK","F"
"NOBLE PARK","3174","Cat","TAB","BROBLA","F"
"NOBLE PARK","3174","Cat","DOM","BLACK","F"
"NOBLE PARK","3174","Cat","DOM","TABWHI","F"
